# Wanna get that jar
Angry Jung Man	prop:_jungDrops<1;day:1
# Wanna get grimstone mask
Grimstone Golem	prop:_grimstoneMaskDrops<1;day:1
# Wanna get yummy chewables
Golden Monkey	prop:_powderedGoldDrops<3
Bloovian Groose	prop:_grooseDrops<3
Unconscious Collective	prop:_dreamJarDrops<3
Grim Brother	prop:_grimFairyTaleDrops<3
# Wanna build up heists
Cat Burglar	prop:_catBurglarCharge<30
# Mini Kiwi for turn gen in 11 Things path
Mini Kiwi	path:11 Things I Hate About U;item:mini kiwi<=8
# Wanna get booze ingredients
Robortender
# Might as well get tales of spelunking
Adventurous Spelunker	prop:_spelunkingTalesDrops<1
# Might as well get devilish folios
Blavious Kloop	prop:_kloopDrops<3
# Leprechauns with a >1 multiplier
# 1.5x multiplier leprechaun
Jill-of-All-Trades	item:LED candle>0
#Mutant Cactus Bud	grimdark:0
Hobo Monkey
#Mutant Cactus Bud	grimdark:1
# Does everything
Jill-of-All-Trades
# Volleychauns
Golden Monkey
Bloovian Groose
Unconscious Collective
Grim Brother
Mini Kiwi
Dramatic Hedgehog
Chauvinist Pig
Uniclops
Hunchbacked Minion
Nervous Tick
Cymbal-Playing Monkey
Cheshire Bat
# Fairychauns
Cat Burglar
Blavious Kloop
Adventurous Spelunker
Hippo Ballerina
Dancing Frog
Cheshire Bat
Piano Cat
Psychedelic Bear
Casagnova Gnome
Jitterbug
Attention-Deficit Demon
Coffee Pixie
# Wowee
Hand Turkey
# Sorry, we don't use him for yellow rays but we can at least use him for meat I guess
He-Boulder
# Marginally special leprechauns
Ghost of Crimbo Commerce
Knob Goblin Organ Grinder
#Mutant Cactus Bud	grimdark:2
Urchin Urchin
# Memes, doesn't actually give substats apparently
Cornbeefadon
# The original
Leprechaun
