# Save for Mr. Alarm
1 wet stew	quest:questL11Palindome<5
1 stunt nuts	quest:questL11Palindome<5
# Save for milk of magnesium
3 glass of goat's milk	skill:advanced saucecrafting;!path:Two Crazy Random Summer
# Save for trapper
3 goat cheese	quest:questL08Trapper<2
# Save for galoshes
3 blackberry	item:blackberry galoshes<1;quest:questL11Black<2
# Save for beanstalk
1 enchanted bean	quest:questL10Garbage<2
# Save for jar of oil
12 bubblin' crude	prop:twinPeakProgress<4;item:jar of oil<1
# Save for jelly toast
11 toast	havefamiliar:Space Jellyfish
# You won't have more than 1000 clovers in run. If you do somehow, enjoy your green beer, maybe.
1000 ten-leaf clover
# Save for flamin' whatshisname
# Technically could only save until the shen part is done, but eh, probably won't make a difference
11 unnamed cocktail	quest:questL11Ron<2
# Save for protesters
11 Flamin' Whatshisname	quest:questL11Ron<2
# Don't save, just keep dough from causing an infinite loop
-1 wad of dough
-1 flat dough
# Don't auto-craft bounty-o's and such, yikes
9999999 filthy lucre
# Don't save, just keep firewood from causing an infinite loop
-1 bundle of firewood
