A.M.C. Gremlin
Animated Mahogany Nightstand
Animated Possessions
Animated Rustic Nightstand
Bubblemint Twins
Bullet Bill
Burly Sidekick	item:Mohawk Wig>0
Chatty Pirate
Clingy Pirate (Female)
Clingy Pirate (Male)
Coaltergeist
Crusty Pirate
Doughbat
Drunk Goat
Evil Olive
Flock Of Stab-Bats
Gluttonous Ghuol	class:Vampyre
Knob Goblin Harem Guard
Knob Goblin Madam	item:Knob Goblin Perfume>0
Mad Wino
Mismatched Twins
Natural Spider
Plaid Ghost
Possessed Laundry Press
Procrastination Giant
Protagonist
Pygmy Headhunter
Pygmy Janitor	tavern:true
Pygmy Orderlies
Pygmy Witch Lawyer
Pygmy Witch Nurse
Red Herring
Red Snapper
Sabre-Toothed Goat
Senile Lihc	loc:The Defiled Niche
Slick Lihc	loc:The Defiled Niche
Skeletal Sommelier
Snow Queen
Steam Elemental
Taco Cat
Tan Gnat
Tomb Asp
Tomb Servant
Wardr&ouml;b Nightstand
Warehouse Janitor
Upgraded Ram
