# Gotta get that wig
Burly Sidekick	item:Mohawk Wig<1;!skill:Comprehensive Cartography;!itemdropcapped:10=Mohawk wig
# We also want an amulet, but not badly enough to yellow ray it unless we're backtracking to get it
Quiet Healer	item:amulet of extreme plot significance<1;quest:questL10Garbage>6;!itemdropcapped:10=amulet of extreme plot significance
# Dressing up as a harem girl because we have no shame
Knob Goblin Harem Girl	!outfit:Knob Goblin Harem Girl Disguise;!itemdropcapped:20=Knob Goblin harem pants
# We don't want to yellow ray a mountain man if we already turned in ore
# although I'm not sure why we'd be fighting one in that case...
Mountain Man	quest:questL08Trapper<2
# We want frat warrior fatigues!
Beer Bongadier	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
Danglin' Chad	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
Elite Beer Bongadier	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
Frat Warrior drill sergeant	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
Orcish Frat Boy Spy	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
Sorority Operator	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat 110th Infantryman	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat 151st Captain	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat 151st Infantryman	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat 500th Infantrygentleman	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Elite 110th Captain	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Elite 500th Captain	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Elite Wartender	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Kegrider	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Mobile Grill Unit	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Frat Wartender	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
War Pledge	!outfit:Frat Warrior Fatigues;prop:auto_hippyInstead=false
# We also want to dress up like a filthy hippy to get frat warrior fatigues
business hippy	!outfit:Filthy Hippy Disguise
crusty hippy	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
crusty hippy Vegan chef	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
crusty hippy jewelry maker	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
dirty hippy	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
dirty hippy Vegan chef	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
dirty hippy jewelry maker	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
filthy hippy	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
filthy hippy Vegan chef	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
filthy hippy jewelry maker	!outfit:Filthy Hippy Disguise;!class:Ed the Undying
zombie hippy	!outfit:Filthy Hippy Disguise
# Want hippy war outfit if fighting for hippies. TODO: add monsters for Frat Boy Ensemble and War Hippy Fatigues outfits. Issue #900
War Hippy Spy	!outfit:War Hippy Fatigues;!itemdropcapped:30=round purple sunglasses;prop:auto_hippyInstead=true
War Hippy Airborne Commander	!outfit:War Hippy Fatigues;prop:auto_hippyInstead=true
# And we want filthworm glands, but not if we're gonna hugpocket them
larval filthworm	item:filthworm hatchling scent gland<1;!familiar:XO Skeleton;!class:Ed the Undying;!itemdropcapped:10=filthworm hatchling scent gland
filthworm drone	item:filthworm drone scent gland<1;!familiar:XO Skeleton;!class:Ed the Undying;!itemdropcapped:10=filthworm drone scent gland
filthworm royal guard	item:filthworm royal guard scent gland<1;!familiar:XO Skeleton;!class:Ed the Undying;!itemdropcapped:10=filthworm royal guard scent gland
Knight (Snake)	class:Ed the Undying
bearpig topiary animal	familiar:Melodramedary;!itemdropcapped:15=rusty hedge trimmers
elephant (meatcar?) topiary animal	familiar:Melodramedary;!itemdropcapped:15=rusty hedge trimmers
spider (duck?) topiary animal	familiar:Melodramedary;!itemdropcapped:15=rusty hedge trimmers
