big rock	4	5	0	0	none	none
Newbiesport&trade; tent	9	10	0	0	none	none
Giant Pilgrim Hat	14	15	0	0	none	Pyramid Power
Barskin Tent	19	20	0	0	none	none
Cottage	29	30	0	0	none	none
BRICKO pyramid	34	35	0	0	none	none
Frobozz Real-Estate Company Instant House (TM)	39	40	0	0	none	none
Sandcastle	49	50	0	0	none	none
Ginormous Pumpkin	49	50	0	0	none	Juiced and Jacked
Giant Faraday Cage	49	50	0	0	none	Uncaged Power
Snow Fort	49	50	0	0	none	Snow Fortified
Elevent	49	50	0	0	none	It's Ridiculous
House of Twigs and Spit	59	60	0	0	none	none
Gingerbread House	69	70	0	0	none	Holiday Bliss
hobo fortress blueprints	84	85	0	0	none	Hobonic
Xiblaxian residence-cube	99	100	0	0	none	Hypercubed
Distant Woods Getaway Brochure	250	125	2	0	none	none
Chateau Mantegna room key	250	125	2	0	none	none
