# THIS FILE IS GENERATED BY BUILD/assemble.sh
# DO NOT EDIT THIS FILE DIRECTLY. EDIT THE .DAT FILES IN THE /BUILD/ FOLDER THEN RUN assemble.sh

# type, idx, name, hp restored, mp restored, soft reserve limit, hard reserve limit, effects removed, effects gained

clan	0	A Relaxing Hot Tub	ALL	0	5	2	All Negative	none

dwelling	0	big rock	4	5	0	0	none	none
dwelling	1	Newbiesport&trade; tent	9	10	0	0	none	none
dwelling	2	Giant Pilgrim Hat	14	15	0	0	none	Pyramid Power
dwelling	3	Barskin Tent	19	20	0	0	none	none
dwelling	4	Cottage	29	30	0	0	none	none
dwelling	5	BRICKO pyramid	34	35	0	0	none	none
dwelling	6	Frobozz Real-Estate Company Instant House (TM)	39	40	0	0	none	none
dwelling	7	Sandcastle	49	50	0	0	none	none
dwelling	8	Ginormous Pumpkin	49	50	0	0	none	Juiced and Jacked
dwelling	9	Giant Faraday Cage	49	50	0	0	none	Uncaged Power
dwelling	10	Snow Fort	49	50	0	0	none	Snow Fortified
dwelling	11	Elevent	49	50	0	0	none	It's Ridiculous
dwelling	12	House of Twigs and Spit	59	60	0	0	none	none
dwelling	13	Gingerbread House	69	70	0	0	none	Holiday Bliss
dwelling	14	hobo fortress blueprints	84	85	0	0	none	Hobonic
dwelling	15	Xiblaxian residence-cube	99	100	0	0	none	Hypercubed
dwelling	16	Distant Woods Getaway Brochure	250	125	2	0	none	none
dwelling	17	Chateau Mantegna room key	250	125	2	0	none	none

item	0	scented massage oil	ALL	0	0	0	none	none
item	1	extra-strength red potion	200	0	0	0	none	Healthy Red Glow
item	2	plaid bandage	135	0	0	0	none	none
item	3	red pixel potion	110	0	0	0	none	none
item	4	gauze garter	100	0	0	5	none	none
item	5	filthy poultice	100	0	0	5	none	none
item	6	red potion	95	0	0	0	none	Healthy Red Glow
item	7	green pixel potion	50	35	0	0	none	none
item	8	cartoon heart	50	0	0	0	none	Healthy Red Glow
item	9	Texas tea	30	30	0	0	none	Texas Elegance
item	10	Doc Galaktik's Homeopathic Elixir	19	0	0	0	none	none
item	11	cast	15	0	0	0	none	none
item	12	Doc Galaktik's Restorative Balm	14	0	0	0	none	none
item	13	Doc Galaktik's Ailment Ointment	9	0	0	0	none	none
item	14	forest tears	7	0	0	0	Beaten Up	none
item	15	Doc Galaktik's Pungent Unguent	4	0	0	0	none	none
item	16	palm-frond fan	40	40	0	0	none	none
item	17	Cloaca-Cola	0	12	0	0	none	none
item	18	scroll of drastic healing	100000	0	0	0	none	none
item	19	warm El Vibrato drone	ALL	0	0	0	none	Well-preserved
item	20	Camp Scout pup tent	1000	0	0	0	none	none
item	21	really thick bandage	110	0	0	0	none	none
item	22	bottle of Vangoghbitussin	100	100	0	0	none	The 'Tussin
item	23	ancient turtle shell powder	90	0	0	0	none	none
item	24	cotton candy bale	61	61	0	0	none	none
